id_produto,produto_nome,produto_tipo,taxa_juros
1,Investimento 01,Investimento,2.41
2,Cartão 02,Cartão,0.94
3,Investimento 03,Investimento,2.88
4,Cartão 04,Cartão,3.74
5,Empréstimo 05,Empréstimo,4.43
6,Empréstimo 06,Empréstimo,1.97
7,Poupança 07,Poupança,2.64
8,Conta Corrente 08,Conta Corrente,3.78
9,Conta Corrente 09,Conta Corrente,1.0
10,Poupança 10,Poupança,3.94
11,Empréstimo 11,Empréstimo,3.04
12,Empréstimo 12,Empréstimo,2.06
13,Empréstimo 13,Empréstimo,2.73
14,Financiamento 14,Financiamento,4.26
15,Conta Corrente 15,Conta Corrente,3.43
16,Conta Corrente 16,Conta Corrente,3.44
17,Financiamento 17,Financiamento,3.75
18,Investimento 18,Investimento,1.86
19,Cartão 19,Cartão,2.3
20,Empréstimo 20,Empréstimo,0.31
21,Investimento 21,Investimento,4.33
22,Cartão 22,Cartão,4.77
23,Poupança 23,Poupança,2.64
24,Conta Corrente 24,Conta Corrente,4.3
25,Cartão 25,Cartão,4.17
26,Financiamento 26,Financiamento,3.1
27,Poupança 27,Poupança,2.02
28,Poupança 28,Poupança,2.78
29,Financiamento 29,Financiamento,4.53
30,Financiamento 30,Financiamento,1.79
31,Conta Corrente 31,Conta Corrente,0.81
32,Cartão 32,Cartão,4.34
33,Cartão 33,Cartão,1.4
34,Poupança 34,Poupança,4.34
35,Conta Corrente 35,Conta Corrente,0.69
36,Empréstimo 36,Empréstimo,4.05
37,Financiamento 37,Financiamento,3.82
38,Poupança 38,Poupança,3.33
39,Financiamento 39,Financiamento,1.06
40,Financiamento 40,Financiamento,4.31
