id_agencia,nome_agencia,cidade,estado
1,Agência 1,Aparecida,PB
2,Agência 2,Azevedo,SE
3,Agência 3,Martins,MA
4,Agência 4,Costa do Campo,PI
5,Agência 5,Duarte dos Dourados,RJ
6,Agência 6,Gonçalves de Lopes,RO
7,Agência 7,Silveira de Aparecida,CE
8,Agência 8,Albuquerque,RR
9,Agência 9,Sá Alegre,RJ
10,Agência 10,Gomes de Montenegro,PA
11,Agência 11,Lopes Alegre,PB
12,Agência 12,da Rocha,PA
13,Agência 13,Gomes,MG
14,Agência 14,Rios,SE
15,Agência 15,Moraes,AP
16,Agência 16,Leão,PB
17,Agência 17,Borges de Fonseca,PB
18,Agência 18,Macedo,AL
19,Agência 19,Azevedo Paulista,AC
20,Agência 20,Costa de Vieira,MA
