id_transacao,id_contrato,id_cliente,id_agencia,id_produto,transacao_tipo,transacao_valor,data_key
1,14422,812,65,27,Pagamento,10.16,20240916
2,6407,2254,60,7,Crédito,12.2,20240412
3,8557,1928,1,37,Débito,5.0,20240801
4,11647,754,49,14,Crédito,5.0,20240418
5,3620,1739,41,8,Crédito,33.46,20251126
6,7883,593,75,2,Crédito,8.41,20260103
7,4498,2957,8,18,Crédito,12.39,20250930
8,5977,1952,4,17,Débito,5.0,20240131
9,12701,2617,35,31,Débito,22.25,20241231
10,14306,882,11,26,Crédito,5.0,20250528
11,6763,1843,20,36,Pagamento,18.09,20240914
12,3937,540,33,38,Pix,18.11,20260109
13,11517,830,73,37,Crédito,28.21,20240610
14,3390,2633,15,2,Pix,5.0,20250910
15,10675,2830,35,31,Transferência,5.0,20250130
16,14642,1649,55,2,Pagamento,15.21,20250725
17,14424,1006,15,37,Débito,5.29,20241210
18,8480,860,48,40,Pix,21.01,20240930
19,8310,1067,56,7,Débito,8.33,20250103
20,14491,2691,43,2,Débito,5.0,20250922
21,8023,1933,46,23,Crédito,7.94,20241229
22,4629,1064,13,29,Pagamento,5.0,20250805
23,4466,2517,8,39,Débito,20.36,20260123
24,10943,1681,36,1,Pagamento,10.44,20241228
25,13810,398,25,10,Pix,9.26,20250429
26,1890,2980,21,10,Débito,10.1,20250912
27,9898,2892,19,30,Crédito,9.39,20250611
28,8349,366,16,29,Crédito,5.4,20251030
29,6611,405,47,37,Pix,5.0,20241208
30,7010,416,21,15,Pix,39.04,20240427
31,14927,1853,41,6,Débito,5.0,20250607
32,3126,436,56,33,Transferência,8.05,20260319
33,8291,996,22,33,Transferência,9.32,20251121
34,5808,2591,23,6,Crédito,11.06,20250412
35,2548,1139,54,12,Débito,6.72,20250503
36,8385,673,21,27,Transferência,31.75,20251208
37,9317,2492,20,2,Crédito,12.57,20240303
38,11891,2363,33,13,Pix,36.74,20250915
39,3238,188,76,38,Crédito,7.7,20240202
40,12285,119,76,5,Débito,17.52,20240911
41,13964,1364,77,38,Pix,22.73,20250723
42,2893,110,71,27,Pix,22.98,20260227
43,9117,1216,37,33,Pagamento,5.0,20251206
44,6873,682,7,25,Crédito,6.28,20250310
45,2119,955,46,14,Pix,23.75,20240810
46,5508,2237,42,20,Pix,11.25,20251019
47,10834,144,55,18,Pix,12.73,20250725
48,10985,475,62,27,Crédito,14.7,20250301
49,1350,2524,38,35,Pix,5.64,20251108
50,12269,595,39,19,Débito,13.18,20250420
51,789,1972,47,13,Pix,64.96,20250602
52,10120,2853,29,13,Transferência,5.52,20250328
53,13423,330,54,23,Pix,5.0,20251031
