id_contrato,id_cliente,id_produto,id_agencia,contrato_valor,data_key
1,2990,20,52,19305.08,20250706
2,1850,2,29,2246.69,20250613
3,2269,3,29,30356.42,20250825
4,242,4,5,9448.18,20251008
5,1141,14,70,1992.0,20240831
6,2361,31,53,3644.43,20250807
7,1766,27,60,12074.43,20251105
8,404,8,44,10427.1,20251023
9,2197,28,24,5348.8,20240713
10,1816,36,13,56052.74,20240318
11,61,16,22,10130.03,20250707
12,1643,11,49,9970.0,20240806
13,1864,13,72,118251.75,20240928
14,892,38,70,3167.16,20241030
15,206,33,68,11471.66,20240228
16,329,5,77,9265.97,20250604
17,1654,17,73,55640.94,20240828
18,2537,18,75,2936.7,20240210
19,837,21,31,87961.75,20240924
20,2644,20,41,71452.16,20251118
21,2307,5,69,5698.66,20250928
22,1430,16,48,85765.01,20240515
23,2882,34,2,3208.46,20250710
24,425,9,34,27453.41,20251110
25,2267,25,37,4459.59,20260130
26,834,17,65,47381.86,20241217
27,379,18,6,4515.7,20240222
28,2610,11,57,40693.23,20240513
29,40,29,20,57925.06,20250728
30,2386,28,17,276.54,20250113
31,164,14,32,37682.74,20260326
32,1665,10,31,7396.73,20250727
33,1689,33,43,78215.45,20240630
34,1017,34,14,16143.59,20260122
35,912,35,59,13210.33,20250426
36,933,36,25,6451.22,20260325
37,1144,33,52,62674.05,20240312
38,473,17,23,1722.63,20240129
39,157,39,56,19269.42,20240928
40,1788,33,15,14706.63,20241117
41,1044,1,56,13593.07,20240713
42,2814,13,47,62870.52,20250705
43,1353,8,39,1864.49,20251111
44,1337,19,71,5329.99,20250222
45,1553,12,79,1040.02,20251111
46,2,14,56,59123.48,20250715
47,1905,14,66,12329.9,20241125
48,696,19,66,3989.3,20260326
49,963,15,26,63574.47,20260208
50,1947,5,59,976.3,20240907
51,797,25,64,17779.67,20250812
52,2817,12,14,51717.98,20251102
53,2122,36,32,4767.4,20251213
54,1904,36,77,2336.66,20260331
55,2510,33,55,114054.71,20250329
56,1945,16,36,38443.52,20240611
57,1125,19,31,9949.64,20240901
58,331,18,30,40965.86,20250707
59,877,19,53,10715.3,20251224
60,256,20,54,8596.56,20250301
61,2849,21,74,13667.74,20250821
62,1224,27,69,7677.72,20241226
63,2000,23,56,4019.35,20240813
64,2740,26,22,1406.35,20241210
65,2188,25,51,139540.41,20250929
66,344,9,60,11505.64,20240128
67,1341,27,42,8771.35,20250123
68,1140,27,33,11657.22,20250123
69,2210,29,45,40273.01,20260206
70,2670,30,4,3285.71,20260310
71,2545,31,17,1076.87,20240121
72,893,17,48,3380.35,20250731
73,2943,33,21,50441.95,20260204
74,1278,25,51,13107.41,20240127
75,2570,35,39,10699.74,20251208
76,2319,23,69,124718.64,20260326
77,2073,1,54,13399.67,20240311
78,2604,30,20,2477.54,20250105
79,2665,39,69,3934.67,20250618
80,2427,40,32,2377.88,20260118
81,999,37,79,25919.62,20250406
82,1332,2,28,5709.55,20250521
83,1146,18,72,16057.73,20241214
84,351,4,53,62478.64,20240714
85,2829,32,58,8772.47,20240903
86,1657,20,75,2302.75,20240814
87,1409,36,43,2418.98,20250627
88,1256,8,16,14205.67,20241004
89,2195,12,25,28666.1,20260130
90,2968,34,77,116018.6,20241010
91,1214,11,23,14727.15,20240717
92,519,12,7,6061.13,20250630
93,2613,32,14,26910.25,20240509
94,1961,12,7,69313.64,20250425
95,468,26,63,142338.27,20250504
96,220,16,73,48276.59,20251203
97,486,27,78,11388.57,20240911
98,2141,29,39,122796.31,20240819
99,2330,40,13,19805.61,20241108
100,2706,20,31,101316.95,20240927
101,11,39,61,46399.42,20240609
102,2896,22,59,1456.96,20241022
103,2561,13,55,56553.87,20240927
104,611,10,10,2768.36,20251025
105,2438,37,37,3322.92,20241110
106,1246,18,65,36165.98,20251206
107,2450,27,56,2519.6,20240323
108,375,28,74,72841.92,20240127
109,2754,37,6,19040.33,20260222
110,1812,12,75,40287.56,20251029
111,374,27,43,12878.3,20250518
112,1351,32,37,80745.89,20240613
113,151,21,33,125763.58,20250717
114,1656,1,70,14794.67,20260302
115,2124,32,57,73722.18,20240711
116,537,29,63,3849.82,20250716
117,2494,11,40,241.46,20251007
118,382,38,15,6025.58,20250221
119,631,19,66,143117.9,20251025
120,1935,40,71,50443.35,20250509
121,2082,9,9,7979.93,20250905
122,1393,33,35,92948.34,20250228
123,2405,32,20,34657.84,20241101
124,1362,35,49,90015.48,20241219
125,2857,5,50,141270.79,20240712
126,179,31,49,4294.46,20250224
127,2671,32,5,14837.8,20260322
128,1360,29,13,2561.23,20250827
129,2960,9,20,18253.61,20240116
130,1387,26,11,40211.8,20240928
131,1557,32,70,12932.78,20250630
132,2586,19,30,74477.68,20240828
133,2596,7,57,37547.86,20240410
134,189,4,38,57050.09,20240130
